good_model,bad_model,round,mean_cumulative_score,mean_reward,n
gpt-4o-mini,gpt-4.1,26,208.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,27,216.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,28,224.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,29,232.8993288590604,8.0,149
gpt-4o-mini,gpt-4.1,30,240.8993288590604,8.0,149
gpt-4o-mini,gpt-4o-mini,1,8.0,8.0,91
gpt-4o-mini,gpt-4o-mini,2,16.263736263736263,8.263736263736265,91
gpt-4o-mini,gpt-4o-mini,3,24.967032967032967,8.703296703296703,91
gpt-4o-mini,gpt-4o-mini,4,33.05494505494506,8.087912087912088,91
gpt-4o-mini,gpt-4o-mini,5,41.23076923076923,8.175824175824175,91
gpt-4o-mini,gpt-4o-mini,6,49.38461538461539,8.153846153846153,91
gpt-4o-mini,gpt-4o-mini,7,57.34065934065934,7.956043956043956,91
gpt-4o-mini,gpt-4o-mini,8,65.2967032967033,7.956043956043956,91
gpt-4o-mini,gpt-4o-mini,9,73.45054945054945,8.153846153846153,91
gpt-4o-mini,gpt-4o-mini,10,81.56043956043956,8.10989010989011,91
gpt-4o-mini,gpt-4o-mini,11,89.64835164835165,8.087912087912088,91
gpt-4o-mini,gpt-4o-mini,12,97.58241758241758,7.934065934065934,91
gpt-4o-mini,gpt-4o-mini,13,105.53846153846153,7.956043956043956,91
gpt-4o-mini,gpt-4o-mini,14,113.71428571428571,8.175824175824175,91
gpt-4o-mini,gpt-4o-mini,15,121.6923076923077,7.978021978021978,91
gpt-4o-mini,gpt-4o-mini,16,129.8021978021978,8.10989010989011,91
gpt-4o-mini,gpt-4o-mini,17,137.73626373626374,7.934065934065934,91
gpt-4o-mini,gpt-4o-mini,18,145.73626373626374,8.0,91
gpt-4o-mini,gpt-4o-mini,19,153.9120879120879,8.175824175824175,91
gpt-4o-mini,gpt-4o-mini,20,161.9120879120879,8.0,91
gpt-4o-mini,gpt-4o-mini,21,169.8901098901099,7.978021978021978,91
gpt-4o-mini,gpt-4o-mini,22,177.8901098901099,8.0,91
gpt-4o-mini,gpt-4o-mini,23,186.06593406593407,8.175824175824175,91
gpt-4o-mini,gpt-4o-mini,24,194.06593406593407,8.0,91
gpt-4o-mini,gpt-4o-mini,25,202.04395604395606,7.978021978021978,91
gpt-4o-mini,gpt-4o-mini,26,210.04395604395606,8.0,91
gpt-4o-mini,gpt-4o-mini,27,218.21978021978023,8.175824175824175,91
gpt-4o-mini,gpt-4o-mini,28,226.21978021978023,8.0,91
gpt-4o-mini,gpt-4o-mini,29,234.30769230769232,8.087912087912088,91
gpt-4o-mini,gpt-4o-mini,30,242.26373626373626,7.956043956043956,91
gpt-4o-mini,gpt-5.1,1,7.978260869565218,7.978260869565218,184
gpt-4o-mini,gpt-5.1,2,18.206521739130434,10.228260869565217,184
gpt-4o-mini,gpt-5.1,3,30.391304347826086,12.184782608695652,184
gpt-4o-mini,gpt-5.1,4,44.45652173913044,14.065217391304348,184
gpt-4o-mini,gpt-5.1,5,55.44565217391305,10.98913043478261,184
gpt-4o-mini,gpt-5.1,6,66.68478260869566,11.23913043478261,184
gpt-4o-mini,gpt-5.1,7,77.42391304347827,10.73913043478261,184
gpt-4o-mini,gpt-5.1,8,88.3913043478261,10.967391304347826,184
gpt-4o-mini,gpt-5.1,9,98.6195652173913,10.228260869565217,184
gpt-4o-mini,gpt-5.1,10,108.82608695652173,10.206521739130435,184
gpt-4o-mini,gpt-5.1,11,118.98913043478261,10.16304347826087,184
gpt-4o-mini,gpt-5.1,12,128.7826086956522,9.793478260869565,184
gpt-4o-mini,gpt-5.1,13,138.9891304347826,10.206521739130435,184
gpt-4o-mini,gpt-5.1,14,149.54347826086956,10.554347826086957,184
gpt-4o-mini,gpt-5.1,15,159.5,9.956521739130435,184
gpt-4o-mini,gpt-5.1,16,170.3804347826087,10.880434782608695,184
gpt-4o-mini,gpt-5.1,17,180.7173913043478,10.33695652173913,184
gpt-4o-mini,gpt-5.1,18,191.45652173913044,10.73913043478261,184
gpt-4o-mini,gpt-5.1,19,201.7608695652174,10.304347826086957,184
gpt-4o-mini,gpt-5.1,20,211.55434782608697,9.793478260869565,184
gpt-4o-mini,gpt-5.1,21,221.58695652173913,10.032608695652174,184
gpt-4o-mini,gpt-5.1,22,231.7826086956522,10.195652173913043,184
gpt-4o-mini,gpt-5.1,23,242.04347826086956,10.26086956521739,184
gpt-4o-mini,gpt-5.1,24,252.30434782608697,10.26086956521739,184
gpt-4o-mini,gpt-5.1,25,262.44565217391306,10.141304347826088,184
gpt-4o-mini,gpt-5.1,26,272.29347826086956,9.847826086956522,184
gpt-4o-mini,gpt-5.1,27,282.4673913043478,10.173913043478262,184
gpt-4o-mini,gpt-5.1,28,292.4673913043478,10.0,184
gpt-4o-mini,gpt-5.1,29,302.2717391304348,9.804347826086957,184
gpt-4o-mini,gpt-5.1,30,312.3478260869565,10.076086956521738,184
gpt-4o-mini,gpt-5.4,1,8.0,8.0,173
gpt-4o-mini,gpt-5.4,2,16.23121387283237,8.23121387283237,173
gpt-4o-mini,gpt-5.4,3,24.427745664739884,8.196531791907514,173
gpt-4o-mini,gpt-5.4,4,32.63583815028902,8.208092485549132,173
gpt-4o-mini,gpt-5.4,5,40.70520231213873,8.06936416184971,173
gpt-4o-mini,gpt-5.4,6,48.797687861271676,8.092485549132949,173
gpt-4o-mini,gpt-5.4,7,56.84393063583815,8.046242774566474,173
gpt-4o-mini,gpt-5.4,8,65.00578034682081,8.16184971098266,173
gpt-4o-mini,gpt-5.4,9,73.0635838150289,8.057803468208093,173
gpt-4o-mini,gpt-5.4,10,81.121387283237,8.057803468208093,173
gpt-4o-mini,gpt-5.4,11,89.121387283237,8.0,173
gpt-4o-mini,gpt-5.4,12,97.121387283237,8.0,173
gpt-4o-mini,gpt-5.4,13,105.121387283237,8.0,173
gpt-4o-mini,gpt-5.4,14,113.121387283237,8.0,173
gpt-4o-mini,gpt-5.4,15,121.121387283237,8.0,173
gpt-4o-mini,gpt-5.4,16,129.121387283237,8.0,173
gpt-4o-mini,gpt-5.4,17,137.121387283237,8.0,173
gpt-4o-mini,gpt-5.4,18,145.121387283237,8.0,173
gpt-4o-mini,gpt-5.4,19,153.121387283237,8.0,173
gpt-4o-mini,gpt-5.4,20,161.17919075144508,8.057803468208093,173
gpt-4o-mini,gpt-5.4,21,169.23699421965318,8.057803468208093,173
gpt-4o-mini,gpt-5.4,22,177.22543352601156,7.988439306358382,173
gpt-4o-mini,gpt-5.4,23,185.28323699421966,8.057803468208093,173
gpt-4o-mini,gpt-5.4,24,193.34104046242774,8.057803468208093,173
gpt-4o-mini,gpt-5.4,25,201.39884393063585,8.057803468208093,173
gpt-4o-mini,gpt-5.4,26,209.38728323699422,7.988439306358382,173
gpt-4o-mini,gpt-5.4,27,217.3757225433526,7.988439306358382,173
gpt-4o-mini,gpt-5.4,28,225.3757225433526,8.0,173
gpt-4o-mini,gpt-5.4,29,233.3757225433526,8.0,173
gpt-4o-mini,gpt-5.4,30,241.3757225433526,8.0,173
